,DE_load_actual_entsoe_transparency
1645,67765.0
1646,66607.0
1647,65542.0
1648,63732.0
1649,63939.0
1650,67125.0
1651,68126.0
1652,64118.0
1653,60302.0
1654,56885.0
1655,52176.0
1656,48640.0
1657,46651.0
1658,46023.0
1659,46524.0
1660,48029.0
1661,51731.0
1662,59070.0
1663,63954.0
1664,66037.0
1665,66644.0
1666,68202.0
1667,68680.0
1668,67512.0
1669,67054.0
1670,65582.0
1671,64358.0
1672,62446.0
1673,62785.0
1674,65921.0
1675,67939.0
1676,63906.0
1677,60123.0
1678,57390.0
1679,52487.0
1680,48820.0
1681,47088.0
1682,46657.0
1683,47198.0
1684,48427.0
1685,51596.0
1686,58737.0
1687,63454.0
1688,65537.0
1689,66203.0
1690,67336.0
1691,68939.0
1692,67990.0
1693,67138.0
1694,65767.0
1695,64025.0
1696,62348.0
1697,62916.0
1698,66164.0
1699,67861.0
1700,64031.0
1701,59990.0
1702,57128.0
1703,52826.0
1704,49487.0
1705,47474.0
1706,46680.0
1707,47112.0
1708,48438.0
1709,51301.0
1710,58749.0
1711,63614.0
1712,66321.0
1713,67042.0
1714,67791.0
1715,69305.0
1716,67845.0
1717,65126.0
1718,63409.0
1719,62697.0
1720,61778.0
1721,62667.0
1722,64902.0
1723,65693.0
1724,61815.0
1725,58023.0
1726,55484.0
1727,51531.0
1728,48241.0
1729,46005.0
1730,44783.0
1731,44676.0
1732,45003.0
1733,45243.0
1734,45740.0
1735,48685.0
1736,53025.0
1737,56027.0
1738,57683.0
1739,58464.0
1740,57556.0
1741,55594.0
1742,54385.0
1743,53722.0
1744,53197.0
1745,54269.0
1746,57529.0
1747,57195.0
1748,53366.0
1749,50562.0
1750,49765.0
1751,46035.0
1752,43067.0
1753,41017.0
1754,40068.0
1755,39975.0
1756,40186.0
1757,39849.0
1758,39291.0
1759,41265.0
1760,45217.0
1761,48495.0
1762,51360.0
1763,53656.0
1764,53117.0
1765,50956.0
1766,49323.0
1767,48326.0
1768,47859.0
1769,49504.0
1770,53813.0
1771,54994.0
1772,52550.0
1773,50606.0
1774,50302.0
1775,47219.0
1776,44594.0
1777,43104.0
1778,42478.0
1779,43181.0
1780,44858.0
1781,48938.0
1782,57001.0
1783,63187.0
1784,65649.0
1785,66121.0
1786,67396.0
1787,68399.0
1788,67461.0
1789,66815.0
1790,66064.0
1791,64406.0
1792,62647.0
1793,62738.0
1794,66255.0
1795,68023.0
1796,63885.0
1797,60063.0
1798,56530.0
1799,51320.0
1800,47912.0
1801,46460.0
1802,45771.0
1803,46324.0
1804,48073.0
1805,51785.0
1806,58363.0
1807,62948.0
1808,64835.0
1809,64922.0
1810,65516.0
1811,66878.0
1812,66220.0
1813,65996.0
1814,64953.0
1815,63292.0
1816,61262.0
1817,61140.0
1818,64215.0
1819,66740.0
1820,62897.0
1821,58870.0
1822,55211.0
1823,50556.0
1824,47264.0
1825,45693.0
1826,44755.0
1827,45533.0
1828,47284.0
1829,50597.0
1830,57517.0
1831,62590.0
1832,64586.0
1833,64644.0
1834,65560.0
1835,66336.0
1836,65690.0
1837,64928.0
1838,63539.0
1839,62169.0
1840,60708.0
1841,61063.0
1842,63899.0
1843,66599.0
1844,62174.0
1845,58318.0
1846,54924.0
1847,50138.0
1848,47005.0
1849,44999.0
1850,44214.0
1851,44858.0
1852,46645.0
1853,50392.0
1854,57106.0
1855,62271.0
1856,64688.0
1857,64972.0
1858,66174.0
1859,67148.0
